,sentence
17997,"Pudicitia, draped, veiled, seated left, drawing veil with right hand, holding sceptre in left hand"
17998,"Pudicitia, draped, veiled, seated left, drawing veil with right hand, holding sceptre in left hand; in front, Salus, draped, standing left, feeding snake held in arms; behind, Felicitas, draped, standing left, leaning on column, and holding caduceus in right hand"
17999,"Pudicitia, draped, veiled, seated left, holding veil in right hand, sceptre in left hand"
18000,"Pudicitia, draped, veiled, seated left, raising right hand to lips and holding sceptre in left hand"
18001,"Pudicitia, draped, veiled, seated left, right hand drawing veil and holding sceptre in left hand"
18002,"Pudicitia, draped, veiled, seated left, right hand drawing veil and holding sceptre in left hand; to left, child"
18003,"Pudicitia, draped, veiled, seated left, right hand drawing veil and holding sceptre in left hand; to left, child, to right, woman standing, holding cornucopiae"
18004,"Pudicitia, draped, veiled, seated left, right hand drawing veil and holding transverse sceptre in left hand"
18005,"Pudicitia, draped, veiled, standing left, drawing veil with right hand, holding sceptre in left hand"
18006,"Pudicitia, seated left, holding veil with riand hand in front of face"
18007,"Pudicitia, standing front, head left, raising right hand and holding veil with left"
18008,"Pudicitia, standing left, raising one hand"
18009,"Pudicitia, veiled, draped, drawing with right hand veil over face"
18010,"Pudicitia, veiled, draped, seated left on low seat, raising right hand to mouth"
18011,"Pudicitia, veiled, draped, seated left on low seat, with right hand on breast"
18012,"Pudicitia, veiled, draped, seated left on throne, with right hand draw- ing out veil and left hand in lap."
18013,"Pudicitia, veiled, draped, seated left, adjusting veil with right hand and holding sceptre in left hand"
18014,"Pudicitia, veiled, draped, seated left, facing front, resting right hand on breast and holding sceptre in left hand"
18015,"Pudicitia, veiled, draped, seated left, facing front, resting right hand on breast and left elbow on arm of chair"
18016,"Pudicitia, veiled, draped, seated left, head front, resting right hand on breast and holding sceptre in left hand"
18017,"Pudicitia, veiled, draped, seated left, raising right hand to veil and holding transverse sceptre in left hand"
18018,"Pudicitia, veiled, draped, seated left, raising veil with right hand and holding sceptre in left hand"
18019,"Pudicitia, veiled, draped, seated left, resting right hand on breast and left hand on arm of chair"
18020,"Pudicitia, veiled, draped, seated left, resting right hand on breast and resting left hand on arm of hair"
18021,"Pudicitia, veiled, draped, seated left, right hand placed on lips, and holding sceptre in left hand"
18022,"Pudicitia, veiled, draped, seated left, with right hand drawing away veil from face, left hand at side."
18023,"Pudicitia, veiled, draped, standing front, head left"
18024,"Pudicitia, veiled, draped, standing left"
18025,"Pudicitia, veiled, draped, standing left, dropping incense with right hand on lighted altar left, her left hand at side"
18026,"Pudicitia, veiled, draped, standing left, lifting veil in right hand and raising skirt with left hand"
18027,"Pudicitia, veiled, draped, standing left, with right hand drawing out fold of robe in front of face and with left gathering up fold of skirt"
18028,"Pudicitia, veiled, seated left, arranging veil"
18029,"Pudicitia, veiled, seated left, drawing out veil"
18030,"Pudicitia, veiled, seated left, holding veil and placing hand on lap"
18031,"Pudicitia, veiled, standing facing"
18032,"Pudicitia, veiled, standing left, arranging veil"
18033,"Pudicitia, veiled, standing left, carrying right hand up to mouth"
18034,"Pudicitia, veiled, standing left, drawing out veil"
18035,"Pudicitia, veiled, standing left, holding veil and other arm across body"
18036,"Pudicitia, veiled, standing left, sacrificing out of patera in right hand at lighted altar"
18037,"Pudicitia, veiled, standing right, holding veil and other arm across body"
18038,"Pudicitia, with the features of Lucilla, veiled, draped, standing left"
18039,"Pudiitia (Julia Domna?), draped, seated left, head front, holding sceptre in hand"
18040,"Pulcheria, enthroned, facing front, arms crossed over breast; star in left field"
18041,"Pulcheria, enthroned, facing front, arms crossed over breast; star in right field"
18042,"Pulvinar, draped, on which are infants Commodus and Antoninus"
18043,"Pulvinar, draped, on which are infants Commodus and Antoninus, each with star over his head"
18044,"Pupienus, togate, standing left, holding branch in extended right hand and parazonium in left hand"
18045,Puteal decorated with lyres and garlands
18046,Pyre in five tiers surmounted by quadriga
18047,"Pyre in four tiers, decorated with swagged hangings an garlands, surmounted by facing quadriga"
18048,"Pyre in four tiers, surmounted by quadriga"
18049,"Pyre of four tiers, decorated with hangings and garlands, surmounted by quadriga"
18050,"Pyre with four ornamental stages, surmounted by Constantius Chlorus, radiate, draped, standing in quadriga, raising right hand and holding whip in left hand"
18051,"Pyre, in many tiers, surountmed by quadriga"
18052,"Pyre, on high platform, with three tiers, draped and festooned"
18053,"Quadriga of elephants, left, bearing two chairs with figures of Divus Claudius and Divus Augustus, both radiate"
18054,"Quadriga right, carrying palm"
18055,"Quadriga right, ornamented with trophy, Victory and trophy, and captive"
18056,"Quadriga, pacing left, bearing conical stone on which is eagle engraved; to right and left, parasol"
18057,"Quadriga, right"
18058,"Quies, draped, standing front, head left, holding branch in right hand and leaning on sceptre with left hand"
18059,"Quies, draped, standing left, holding branch downwards in right hand and leaning on sceptre with left hand"
18060,"Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand"
18061,"Quintillus, standing left, raising captive with right hand and holding sceptre in left hand"
18062,"Quintillus, standing right, holding spear in right hand and globe in left hand"
18063,"Quintillus, standing, holding spear in right hand and globe in left hand"
18064,"Quiver, lion-skin, club, vase, and bow"
18065,Radiate bust right
18066,"Radiate figure, standing front on a rostral column, holding vertical spear in right hand and parazonium in left"
18067,Ram walking left
18068,"Ram, standing left"
18069,"Ram, standing right"
18070,Raven perched left on laurel branch
18071,Raven perched right on laurel branch
18072,Raven standing left on tripod
18073,Raven standing on branch
18074,"Ravenna, turreted, standing left, holding sceptre in right hand and cornucopiae in left hand; right foot on prow"
18075,Rectangular altar
18076,"Rectangular altar on base with three steps, door with four panels, horns at ends"
18077,"Rectangular altar with four steps, door with four panels and lion's head knockers, flanked by two pilasters, horns on corners"
